,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Shugosha LAW-QM2 Q-Mech,Commercial(Inner Sphere),35,Biped,40,Fusion Engine(IS),3051,10 Single,20,Standard,Shugosha,4,RS:VA IM Exo - Clan Invasion,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,LAW-QM2 Q-Mech,"['3', ['LRM 5, Left Torso', 'Medium Laser, Right Arm', 'Medium Laser, Right Arm']]"
Shugosha LAW-QM1 Q-Mech,Commercial(Inner Sphere),35,Biped,40,Fusion Engine(IS),3051,10 Single,20,Standard,Shugosha,4,RS:VA IM Exo - Clan Invasion,"{'Walk': 2, 'Run': 3, 'Jump': '0'}",IS Industrial,Inner Sphere,LAW-QM1 Q-Mech,"['1', ['Large Laser, Right Torso']]"
Hornet HNT-161,Ferro-Fibrous(Inner Sphere),62,Biped,100, Fusion Engine(IS),3052,10 Single,20,Standard,Hornet,2,TRO 3050 - Clan Invasion,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Endo Steel,Inner Sphere,HNT-161,"['3', ['Medium Laser, Right Arm', 'Small Laser, Left Arm', 'LRM 5, Right Torso']]"
Flea FLE-17,Standard Armor,48,Biped,120, Fusion Engine,3049,10 Single,20,MASC,Flea,2,TRO 3050 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,FLE-17,"['5', ['1 ISMediumPulseLaser, Left Arm', '1 ISMediumPulseLaser, Right Arm', '1 ISFlamer, Center Torso', '1 ISSmallLaser, Left Torso (R)', '1 ISSmallLaser, Right Torso (R)']]"
Harvester Ant KIC-3M-B AgroMech MOD,Commercial(Inner Sphere),48,Quad,60,I.C.E. Engine,2801,2 Single,20,Standard,Harvester Ant,2,RS:VA - Early Succession War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Industrial,Inner Sphere,KIC-3M-B AgroMech MOD,"['2', ['1 ISLRM5, Left Torso, Ammo:24', '1 ISLRM5, Right Torso']]"
Harvester Ant KIC-3M-B AgroMech (LRM),Commercial(Inner Sphere),48,Quad,60,I.C.E. Engine,2801,2 Single,20,Standard,Harvester Ant,2,RS OK - Early Succession War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",Industrial,Inner Sphere,KIC-3M-B AgroMech (LRM),"['2', ['1 ISLRM5, Left Torso, Ammo:24', '1 ISLRM5, Right Torso']]"
Harvester Ant KIC-3M AgroMech MOD,Commercial(Inner Sphere),48,Quad,60,ICE Engine(IS),2801,2 Single,20,Standard,Harvester Ant,2,RS VA IM Exo - Early Succession War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Industrial,Inner Sphere,KIC-3M AgroMech MOD,"['5', ['Machine Gun, Right Torso', 'Machine Gun, Left Torso', 'Machine Gun, Right Torso', 'Machine Gun, Left Torso', 'SRM 2, Center Torso']]"
Harvester Ant KIC-3 Agromech (MG),Commercial(Inner Sphere),48,Quad,60,ICE Engine(IS),2801,2 Single,20,Standard,Harvester Ant,2,RS OK - Early Succession War,"{'Walk': 3, 'Run': 5, 'Jump': '0'}",IS Industrial,Inner Sphere,KIC-3M AgroMech (MG),"['5', ['Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'SRM 2, Center Torso']]"
Thorn THE-F,Standard(Inner Sphere),64,Biped,120, Fusion Engine(IS),2490,10 Single,20,Standard,Thorn,1,TRO 3039 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",IS Standard,Inner Sphere,THE-F,"['3', ['Medium Laser, Left Arm', 'LRM 5, Right Arm', 'Medium Laser, Head']]"
Thorn THE-N,Standard Armor,69,Biped,120, Fusion Engine,2549,10 Single,20,Standard,Thorn,2,TRO 3050 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,THE-N,"['3', ['1 ISLRM5, Right Arm, Ammo:24', '1 ISMediumLaser, Head', '1 ISMediumLaser, Left Arm']]"
Dasher (Fire Moth) A,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),2874,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Succession Wars,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,A,"['3', ['AMS, Left Arm', 'Clan TAG, Right Arm', 'Streak SRM 4, Right Torso']]"
Stinger IIC 2,Ferro-Fibrous(Clan),67,Biped,100, Fusion (Clan) Engine(IS),3086,10 Double,20,Standard,Stinger IIC,4,,"{'Walk': 5, 'Run': 8, 'Jump': '5'}",Clan Endo Steel,Clan,2,"['3', ['Improved Heavy Medium Laser, Left Arm', 'Improved Heavy Large Laser, Right Arm', 'Improved Heavy Medium Laser, Right Arm']]"
Dasher (Fire Moth) C,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),2874,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Succession Wars,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,C,"['3', ['LRM 5, Left Arm', 'LRM 5, Right Arm', 'AMS, Right Torso']]"
Dasher (Fire Moth) D,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),2874,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Succession Wars,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,D,"['6', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'ER Medium Laser, Right Torso', 'Flamer, Right Torso']]"
Dasher (Fire Moth) E,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),3055,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Clan Invasion,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,E,"['1', ['ATM 6, Right Arm']]"
Wasp WSP-8T,Standard(Inner Sphere),56,Biped,120, XL Engine(IS),3075,10 Double,20,Standard,Wasp,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,WSP-8T,"['2', ['Light PPC, Right Arm', 'MML 3, Right Torso']]"
Wasp WSP-7MAF,Standard(Inner Sphere),48,Biped,160, XL Engine(IS),3071,10 Double,20,Standard,Wasp,2,Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Endo Steel,Inner Sphere,WSP-7MAF,"['2', ['ER Medium Laser, Right Arm', 'MML 5, Left Torso']]"
Wasp WSP-3W,Ferro-Fibrous(Inner Sphere),35,Biped,120, Fusion Engine,3050,10 Single,20,Standard,Wasp,2,Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-3W,"['6', ['Small Laser, Left Leg', 'Small Laser, Left Leg', 'Small Pulse Laser, Right Arm', 'Small Pulse Laser, Right Arm', 'Small Laser, Left Torso', 'Small Laser, Left Torso']]"
Wasp WSP-3S,Standard(Inner Sphere),56,Biped,120, Light Engine,3067,10 Double,20,Standard,Wasp,2,Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,WSP-3S,"['3', ['ER Medium Laser, Right Arm', 'ER Medium Laser, Right Arm', 'TAG, Head']]"
Stinger IIC,Ferro-Fibrous(Clan),67,Biped,120, Fusion (Clan) Engine(IS),3085,10 Double,20,Standard,Stinger IIC,4,,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Clan,(Standard),"['3', ['Improved Heavy Medium Laser, Left Arm', 'Improved Heavy Medium Laser, Right Arm', 'AP Gauss Rifle, Right Arm']]"
Mercury MCY-102,Ferro-Fibrous(Inner Sphere),53,Biped,160, Fusion Engine(IS),3067,10 Single,20,Standard,Mercury,2,TRO 3050 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,MCY-102,"['2', ['ER Medium Laser, Right Arm', 'ER Small Laser, Head']]"
Baboon (Howler),Ferro-Fibrous(Clan),57,Biped,140, Fusion (Clan) Engine,2871,10 Double,20,Standard,Baboon (Howler),2,TRO 3055 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Clan,(Standard),"['3', ['LRM 5, Right Torso', 'LRM 5, Right Torso', 'LRM 5, Right Torso']]"
Baboon (Howler) 2,Ferro-Fibrous(Clan),57,Biped,120, XL (Clan) Engine,3063,10 Double,20,Standard,Baboon (Howler),2,TRO 3055 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Clan,2,"['4', ['ATM 3, Right Torso', 'ATM 3, Right Torso', 'ATM 3, Right Torso', 'ATM 3, Right Torso']]"
Baboon (Howler) 3,Ferro-Fibrous(Clan),57,Biped,120, XL (Clan) Engine,3066,10 Double,20,Standard,Baboon (Howler),2,TRO 3055 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Clan,3 'Devil',"['1', ['ER PPC, Right Torso']]"
Mercury MCY-104,Ferro-Fibrous,69,Biped,160, XL Engine,3069,10 Single,20,MASC,Mercury,2,TRO 3050 - Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,MCY-104,"['4', ['2 ISERMediumLaser, Right Arm', '1 ISImprovedC3CPU, Left Torso', '1 ISTAG, Center Torso', '1 ISERSmallLaser, Head']]"
Flea FLE-16,Standard(Inner Sphere),48,Biped,180, Fusion Engine(IS),3049,10 Single,20,Standard,Flea,1,TRO Succession Wars - Age of War,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",IS Standard,Inner Sphere,FLE-16,"['3', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Flamer, Center Torso']]"
Stinger STG-3Gb,Standard Armor,69,Biped,140, XL Engine,2720,10 Double,20,Standard,Stinger,2,,"{'Walk': 7, 'Run': 11, 'Jump': '7'}",Endo-Steel,Inner Sphere,STG-3Gb,"['4', ['1 ISMediumLaser, Right Arm', '1 ISMediumLaser, Left Arm', '1 ISMediumLaser, Center Torso', '1 ISSmallLaser, Head']]"
Stinger STG-3P,Standard(Inner Sphere),64,Biped,120, Fusion Engine(IS),3068,10 Single,20,Standard,Stinger,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,STG-3P,"['1', ['Light PPC, Right Torso']]"
Stinger STG-3R,Standard(Inner Sphere),48,Biped,120, Fusion Engine,2479,10 Single,20,Standard,Stinger,1,TRO 3039 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,STG-3R,"['3', ['Medium Laser, Right Arm', 'Machine Gun, Left Arm', 'Machine Gun, Right Arm']]"
Stinger STG-5G,Standard(Inner Sphere),69,Biped,140, XL Engine(IS),3076,10 Double,20,Standard,Stinger,4,Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Endo Steel,Inner Sphere,STG-5G,"['1', ['Light PPC, Right Arm']]"
Stinger STG-5M,Standard(Inner Sphere),56,Biped,120, Fusion Engine,3050,10 Single,20,Standard,Stinger,2,Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,STG-5M,"['3', ['Flamer, Left Arm', 'Medium Laser, Right Arm', 'AMS, Right Arm']]"
Mercury MCY-97,Ferro-Fibrous(Inner Sphere),53,Biped,160, Fusion Engine(IS),3049,10 Single,20,Standard,Mercury,2,TRO 3050 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,MCY-97,"['2', ['Medium Laser, Right Arm', 'Small Laser, Center Torso']]"
Mercury MCY-98,Standard Armor,64,Biped,160, Fusion Engine,2810,10 Single,20,Standard,Mercury,1,TRO 3039 - Succession Wars,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,MCY-98,"['4', ['1 ISMediumLaser, Left Torso', '1 ISSmallLaser, Head', '1 ISMediumLaser, Right Arm', '1 ISSmallLaser, Center Torso']]"
Dasher (Fire Moth) F,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),3070,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Jihad,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,F,"['6', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'AP Gauss Rifle, Right Arm', 'AP Gauss Rifle, Right Arm', 'AP Gauss Rifle, Right Arm']]"
Mercury MCY-99,Ferro-Fibrous,53,Biped,160, Fusion Engine,2742,10 Single,20,MASC,Mercury,2,TRO 3050 - Star League,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,MCY-99,"['4', ['1 ISSmallLaser, Head', '1 ISSmallLaser, Center Torso', '1 ISMediumLaser, Left Torso', '1 ISMediumLaser, Right Arm']]"
Snow Fox 3,Ferro-Fibrous(Clan),57,Quad,180, XL (Clan) Engine,3072,10 Double,20,Standard,Snow Fox,2,TRO 3060,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Clan,3,"['4', ['AP Gauss Rifle, Left Torso', 'AP Gauss Rifle, Right Torso', 'ATM 3, Center Torso', 'ER Medium Laser, Head']]"
Snow Fox 2,Ferro-Fibrous(Clan),48,Quad,160, Fusion (Clan) Engine,3015,10 Single,20,Standard,Snow Fox,2,TRO 3060,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Clan,2,"['1', ['LRM 10, Head']]"
Snow Fox,Ferro-Fibrous(Clan),73,Quad,160, Fusion (Clan) Engine,3015,10 Single,20,Standard,Snow Fox,2,TRO 3060,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Clan,(Standard),"['3', ['ER Small Laser, Left Torso', 'ER Small Laser, Right Torso', 'ER Medium Laser, Head']]"
Stinger STG-5T,Ferro-Fibrous(Inner Sphere),53,Biped,120, XL Engine,3068,10 Single,20,Standard,Stinger,2,Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,STG-5T,"['2', ['MML 3, Left Torso', 'MML 3, Right Torso']]"
Stinger STG-6L,Stealth(Inner Sphere),69,Biped,160, Fusion Engine,3067,10 Double,20,Standard,Stinger,2,Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,STG-6L,"['2', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm']]"
Wasp WSP-1A,Standard(Inner Sphere),48,Biped,120, Fusion Engine,2471,10 Single,20,Standard,Wasp,1,TRO 3039 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-1A,"['2', ['Medium Laser, Right Arm', 'SRM 2, Left Leg']]"
Wasp WSP-1D,Standard(Inner Sphere),48,Biped,120, Fusion Engine,2823,10 Single,20,Standard,Wasp,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-1D,"['4', ['Small Laser, Left Torso', 'Small Laser, Left Torso', 'Medium Laser, Right Arm', 'Flamer, Left Leg']]"
Wasp WSP-1K,Standard(Inner Sphere),56,Biped,120, Fusion Engine,2818,10 Single,20,Standard,Wasp,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-1K,"['2', ['Medium Laser, Right Arm', 'Machine Gun, Left Torso']]"
Wasp WSP-1L,Standard(Inner Sphere),48,Biped,120, Fusion Engine,2799,10 Single,20,Standard,Wasp,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-1L,"['1', ['SRM 4, Right Arm']]"
Wasp WSP-1S,Ferro-Fibrous(Inner Sphere),53,Biped,120, Fusion Engine,3049,10 Single,20,Standard,Wasp,2,Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,WSP-1S,"['4', ['Medium Pulse Laser, Right Arm', 'Flamer, Left Torso', 'Small Laser, Right Torso', 'Small Laser, Right Torso']]"
Wasp WSP-1W,Standard(Inner Sphere),48,Biped,120, Fusion Engine,3009,10 Single,20,Standard,Wasp,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,WSP-1W,"['6', ['Small Laser, Right Arm', 'Small Laser, Right Arm', 'Small Laser, Right Torso', 'Small Laser, Right Torso', 'Small Laser, Left Torso', 'Small Laser, Left Torso']]"
Wasp WSP-3A,Standard(Inner Sphere),64,Biped,100, XL Engine(IS),3082,10 Single,20,Standard,Wasp,2,Jihad,"{'Walk': 5, 'Run': 8, 'Jump': '8'}",Endo Steel,Inner Sphere,WSP-3A,"['1', ['Medium Pulse Laser, Right Arm']]"
Wasp WSP-3L,Stealth(Inner Sphere),64,Biped,120, Fusion Engine(IS),3067,10 Single,20,Standard,Wasp,2,Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,WSP-3L,"['2', ['ER Medium Laser, Right Arm', 'Rocket Launcher 10, Right Torso']]"
Wasp WSP-3M,Ferro-Fibrous(Inner Sphere),44,Biped,120, Fusion Engine,3051,10 Single,20,Standard,Wasp,2,Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,WSP-3M,"['2', ['Medium Pulse Laser, Right Arm', 'SRM 2, Right Torso']]"
Stinger STG-5R,Ferro-Fibrous(Inner Sphere),53,Biped,120, Fusion Engine,3067,10 Single,20,Standard,Stinger,2,Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,STG-5R,"['3', ['ER Medium Laser, Right Arm', 'Rocket Launcher 15, Left Torso', 'Rocket Launcher 15, Right Torso']]"
Dasher (Fire Moth) H,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),3060,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Clan Invasion,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,H,"['9', ['Heavy Small Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Heavy Small Laser, Right Arm', 'Heavy Small Laser, Right Arm', 'Heavy Small Laser, Right Arm', 'Heavy Small Laser, Right Arm', 'Heavy Small Laser, Right Arm']]"
Dasher (Fire Moth) B,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),2874,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Succession Wars,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,B,"['4', ['Medium Pulse Laser, Left Arm', 'Machine Gun, Right Arm', 'Machine Gun, Right Arm', 'Medium Pulse Laser, Right Torso']]"
Dasher (Fire Moth) Prime,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),2874,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Succession Wars,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,Prime,"['4', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'SRM 6, Right Arm', 'SRM 4, Right Torso']]"
Locust LCT-1V2,Standard(Inner Sphere),64,Biped,160, Fusion Engine,3065,10 Single,20,Standard,Locust,2,Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1V2,"['5', ['Rocket Launcher 10, Left Arm', 'Rocket Launcher 10, Left Arm', 'Rocket Launcher 10, Right Arm', 'Rocket Launcher 10, Right Arm', 'Medium Laser, Center Torso']]"
Porcupine PRC-2N,Standard(Inner Sphere),69,Biped,160, XXL Engine,3067,10 Double,20,Standard,Porcupine,4,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,PRC-2N,"['9', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Medium Laser, Left Torso', 'Small X-Pulse Laser, Left Torso', 'Medium Laser, Right Torso', 'Small X-Pulse Laser, Right Torso', 'ER Small Laser, Center Torso', 'ER Medium Laser, Head', 'ER Medium Laser, Head']]"
Dasher (Fire Moth) K,Ferro-Fibrous(Clan),38,Biped Omnimech,200, XL (Clan) Engine(IS),3071,s Heat Sinks:8,20,Standard,Dasher (Fire Moth),2,TRO 3050 - Jihad,"{'Walk': 10, 'Run': 15, 'Jump': '0'}",Clan Endo Steel,Clan,K,"['12', ['B-Pod, Left Leg', 'B-Pod, Right Leg', 'Heavy Medium Laser, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun Array, Left Arm', 'Heavy Medium Laser, Right Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun Array, Right Arm']]"
Locust LCT-1Vb,Ferro-Fibrous,69,Biped,160, XL Engine,2610,10 Double,20,Standard,Locust,2,,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo-Steel,Inner Sphere,LCT-1Vb,"['5', ['1 ISMediumLaser, Center Torso', '1 ISMediumPulseLaser, Left Arm', '1 ISMediumPulseLaser, Right Arm', '1 ISSmallPulseLaser, Left Arm', '1 ISSmallPulseLaser, Right Arm']]"
Locust LCT-3D,Ferro-Fibrous(Inner Sphere),44,Biped,160, Fusion Engine(IS),3049,10 Single,20,Standard,Locust,2,Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-3D,"['2', ['LRM 5, Left Arm', 'LRM 5, Right Arm']]"
